漢字の[くん]読みを覚える。|この話には教[くん]がふくまれる。|[くん]読みと音読みを覚える。,訓,8a13
むかしの[ぐん]隊について学ぶ。|昔は多くの[ぐん]人がいた。|[ぐん]手品というゲームで遊ぶ。,軍,8ecd
むかしはいくつかの町や村で一つの[ぐん]を作った。|この地図には[ぐん]の名前が書かれている。|[ぐん]という言葉は今はあまり使わない。,郡,90e1
[ぐん]馬県はこんにゃくが有名だ。|魚が[む]れて泳ぐ。|鳥が[む]れをつくって飛ぶ。,群,7fa4
円の直[けい]を調べる。|半[けい]を計算する。|この円の直[けい]は十センチだ。,径,5f84
山の[けい]色を見る。|美しい風[けい]を写真にとる。|秋の[けい]色は色あざやかだ。,景,666f
[げい]が上手な人を見る。|テレビで[げい]人を見る。|おどりの[げい]を学ぶ。,芸,82b8
病気で学校を[けつ]席する。|月が[か]けて見える。|おかしの一つが[か]けている。,欠,6b20
くつひもを[むす]ぶ。|テストの[けつ]果が出る。|二人は仲良く手を[むす]んだ。,結,7d50
家を[た]てる。|大きな[た]て物がある。|この国は昔[ケン]国された。,建,5efa
[すこ]やかに育つ。|心も体も[すこ]やかだ。|[すこ]やかな子どもたちが遊ぶ。,健,5065
明日は試[ケン]がある。|理科の実[ケン]をする。|よい経[ケン]をする。,験,9a13
この氷は[かた]い。|土を[かた]める。|水が[コ]体になる。,固,56fa
実験は成[コウ]した。|成[コウ]してうれしい。|みんなで力を合わせて成[コウ]する。,功,529f
犬が[す]きだ。|[コウ]物は何ですか。|静かな場所を[この]む。,好,597d
花の[かお]りをかぐ。|[こう]川県はうどんが有名だ。|パンを焼く[かお]りがする。,香,9999
今日の天[コウ]はよい。|この地方の気[コウ]はよい。|天[コウ]が悪くなる。,候,5019
健[こう]のために運動する。|早ね早起きは健[こう]によい。|おじいさんはとても健[こう]だ。,康,5eb7
[さ]賀県はのりが有名だ。|[さ]賀県には大きな祭りがある。|[さ]賀県に旅行に行く。,佐,4f50
二つの数の[さ]を求める。|兄と弟には五才の[さ]がある。|気温の[さ]が大きい。,差,5dee
畑で野[さい]を育てる。|[な]の花が黄色にさく。|白[さい]でスープを作る。,菜,83dc
クラスで[もっと]も足が速い。|[さい]初にあいさつをする。|これが[もっと]も大切なことだ。,最,6700
[さい]玉県には大きな公園がある。|[さい]玉県から東京へ行く。|[さい]玉県はサッカーがさかんだ。,埼,57fc
料理の[ざい]料を買う。|木[ざい]で家具を作る。|図工で紙[ざい]料を使う。,材,6750
長[さき]県はカステラが有名だ。|長[さき]県には港が多い。|山[さき]さんという友だちがいる。,崎,5d0e
[さく]日は楽しかった。|[さく]年の夏休みを思い出す。|[さく]夜おそくまで起きていた。,昨,6628
千円[さつ]をさいふに入れる。|名[ふだ]を服につける。|改[さつ]口できっぷを見せる。,札,672d
プリントを印[さつ]する。|はがきを[す]る。|新聞を印[さつ]する会社で働く。,刷,5237
虫を観[さつ]する。|天気を観[さつ]して記録する。|駅の周りを観[さつ]する。,察,5bdf
運動会に[さん]加する。|神社に[まい]る。|会議に[さん]加する。,参,53c2
この町でお米が[さん]出される。|赤ちゃんが[う]まれる。|この工場は自動車を生[さん]する。,産,7523
犬と[さん]歩する。|花びらが風で[ち]る。|春になると花が[ち]る。,散,6563
食べ物が[のこ]る。|負けて[ざん]念だ。|教室に一人[のこ]る。,残,6b8b
学校で[し]名を書く。|山田[し]は先生です。|同じ[うじ]の人が多い。,氏,6c0f
先生が[し]会をする。|兄は[し]会者です。|上[し]と話す。,司,53f8
[し]験のために勉強する。|新しいペンを[ため]す。|サッカーの[し]合を見る。,試,8a66
[じ]童会に入る。|この学校には[じ]童が多い。|[じ]童図書館へ行く。,児,5150
かぜが[なお]る。|政[じ]のニュースを聞く。|医者がけがを[なお]す。,治,6cbb
[し]賀県には自然が多い。|[し]賀県から京都は近い。|[し]賀県に旅行する。,滋,6ecb
[じ]書で調べる。|会社を[や]める。|新しい[じ]書を買う。,辞,8f9e
[しか]児島県には火山がある。|森で[しか]を見た。|[しか]は角を持つ動物だ。,鹿,9e7f
大切なものを[うしな]う。|道で友だちを見[うしな]う。|[しつ]礼して先に帰る。,失,5931
図書館で本を[か]りる。|友だちにペンを[か]りる。|お金を[しゃく]用する。,借,501f
花の[たね]をまく。|米の品[しゅ]を調べる。|畑に[たね]をまく。,種,7a2e
家の[まわ]りを歩く。|公園を一[しゅう]する。|池の[まわ]りを走る。,周,5468
たん生日を[いわ]う。|[しゅく]日は学校が休みだ。|みんなでお[いわ]いをする。,祝,795d
[じゅん]番にならぶ。|作り方の手[じゅん]を読む。|[じゅん]番を守る。,順,9806
[はじ]めての場所に行く。|[しょ]日に出かける。|[はつ]雪がふる。,初,521d
[まつ]の木が高い。|[まつ]林を歩く。|門[まつ]をかざる。,松,677e
大声で[わら]う。|友だちと[わら]い合う。|赤ちゃんが[わら]う。,笑,7b11
