手を[まね]いてバスを止める。|友だちを家に[まね]く。|みんなを[しょう]集して話し合う。,招,62db
神様から力を[さず]かる。|父は大学で[じゅ]教をしている。|先生が答えを[さず]ける。,授,6388
森できのこを[と]る。|会社が新しい人を[さい]用する。|先生がテストを[さい]点する。,採,63a1
川が海に[せっ]する。|木の枝を[つ]ぐ。|面[せつ]で先生と話す。,接,63a5
作文を[てい]出する。|新しい考えを[てい]案する。|かばんを手に[さ]げる。,提,63d0
買い物で[そん]をする。|体の調子を[そこ]なう。|花びんが破[そん]する。,損,640d
家の仕事を[ささ]える。|会社の[し]社が新しくできる。|銀行の[し]店に行く。,支,652f
国の[せい]治について学ぶ。|[せい]治家が話をする。|村の[ぎょう]せい仕事を手伝う。,政,653f
交通[じ]こに気をつける。|[こ]意に物を落とす。|雨[ゆえ]に試合は中止になる。,故,6545
おぼれた人を[すく]う。|[きゅう]急車が走る。|海で人を[きゅう]助する。,救,6551
さそいを[ことわ]る。|道路を[おう]だんする。|[ゆ]だんしないで気をつける。,断,65ad
[きゅう]友に手紙を書く。|新[きゅう]の道具を比べる。|[きゅう]学校の写真を見る。,旧,65e7
犬が[あば]れる。|[ぼう]風で木がたおれる。|[ぼう]力はいけないことだ。,暴,66b4
きまりの[じょう]文を読む。|細い一[じょう]の道を歩く。|図書館のきまりの[じょう]文を守る。,条,6761
木の[えだ]を切る。|[えだ]豆を食べる。|小[えだ]を集めて遊ぶ。,枝,679d
町のようすを[ちょう]さする。|体を[けん]さする。|学校で[こう]さがある。,査,67fb
[さくら]の花がさく。|春に[さくら]を見に行く。|[さくら]色のきれいな花びんだ。,桜,685c
気に[かま]わないで前に進む。|新しい家を[かま]える。|作文の[こう]成を考える。,構,69cb
学校で[れき]史を学ぶ。|先生の経[れき]を聞く。|昔から伝わる[れき]史を大切にする。,歴,6b74
アリを[ころ]さないように気をつける。|[さっ]虫スプレーで虫をおいはらう。|畑の虫を[さつ]虫する薬をまく。,殺,6bba
[どく]のあるきのこに気をつける。|[どく]草を食べてはいけない。|食中[どく]にならないように気をつける。,毒,6bd2
二つの絵を[くら]べる。|兄と力を[くら]べる。|去年と今年の記録を[くら]べる。,比,6bd4
[えい]遠の友情を大切にする。|[なが]いあいだ、友だちでいたい。|この町に[えい]住することに決める。,永,6c38
大きな[かわ]のそばで遊ぶ。|[か]口近くの町に住む。|夜空に[ぎん]がが見える。,河,6cb3
水は[えき]体だ。|けがをすると血[えき]が出る。|手を消毒[えき]できれいにする。,液,6db2
絵の具を[ま]ぜる。|休日はバスが[こ]む。|水と油を[こん]合させる。,混,6df7
みんなの数が[へ]る。|食べる回数を[へ]らす。|去年より雪の日が[げん]少した。,減,6e1b
木の高さを[はか]る。|天気を[よ]そくする。|体温を[そく]定する。,測,6e2c
大会の[じゅん]決勝で勝つ。|力の[すい]じゅんを上げる。|クラブの[じゅん]会員として登録する。,準,6e96
お話の中で主人公を[えん]じる。|テレビ番組に[しゅつ]えんする。|発表会で[えん]技をする。,演,6f14
つくえの上をいつも[せい]けつにする。|[いさぎよ]い心を持って行動する。|[こう]けつな心を持つ人になりたい。,潔,6f54
[か]さいにそなえて練習をする。|地しんは[てん]さいの一つだ。|大雨は村に[わざわ]いをもたらす。,災,707d
たき火が[も]える。|落ち葉を[も]やす。|ごみを[も]やす場所を見学する。,燃,71c3
新しい本が[しゅっ]ぱんされる。|絵の勉強で[はん]画を作る。|この本の[しょ]はんは古い。,版,7248
[はん]人をつかまえる。|[はん]罪をふせぐ。|大きなあやまちを[おか]す。,犯,72af
大人になって[どく]立して仕事をする。|[ひと]りで留守番をする。|[どく]自のやり方で問題を考える。,独,72ec
サッカーチームを[ひき]いる。|遠足でみんなを[いん]そつする。|雨がふる確[りつ]は高い。,率,7387
月が空に[あらわ]れる。|買い物で[げん]金をはらう。|絵で気持ちを[ひょう]げんする。,現,73fe
[る]守番をする。|遠い国に[りゅう]学する。|きれいな花が目に[と]まる。,留,7559
名前を[りゃく]して書く。|学校までの[りゃく]図をかく。|手紙の初めに「[ぜん]りゃく」と書く。,略,7565
店が[り]えきを出す。|[ゆう]えきな本を読む。|てんとう虫は[えき]虫だ。,益,76ca
[がん]科で目を見てもらう。|[きん]がんなので、めがねをかける。|[にく]がんで星を見る。,眼,773c
紙を[やぶ]る。|服が[やぶ]れる。|花びんが[は]損する。,破,7834
答えを[たし]かめる。|[たし]か明日は休みだ。|正[かく]な数を数える。,確,78ba
地図で道を[しめ]す。|画面に[ひょう]じする。|先生の[し]じを聞く。,示,793a
[そ]父と話す。|[そ]母と買い物に行く。|[そ]先を大切に思う。,祖,7956
ここは立ち入り[きん]止だ。|油断は[きん]物だ。|図書館で大声を出すのは[きん]止だ。,禁,7981
