[わる]い天気だ。|天気が[あっ]化する。|気分が[わる]くなる。,悪,60aa
この店は品物が[やす]い。|母に会えて[あん]心する。|道路を[あん]全にわたる。,安,5b89
夜道は[くら]い。|漢字を[あん]記する。|へやが[くら]くなる。,暗,6697
[イ]者に見てもらう。|[イ]院で薬をもらう。|[イ]学を学ぶ人がいる。,医,533b
[イ]員会で話し合う。|クラスの[イ]員になる。|[イ]員長が前に立つ。,委,59d4
よう[い]をしてから出かける。|この[い]味をじしょで調べる。|道路で車に注[い]する。,意,610f
花を[そだ]てる。|妹が[そだ]つ。|学校で体[いく]をする。,育,80b2
図書室の会[いん]になる。|お店の店[いん]に聞く。|全[いん]でうたを歌う。,員,54e1
入[イン]して薬をのむ。|寺[イン]で手を合わせる。|[イン]長先生に会う。,院,9662
毎朝水を[の]む。|教室でお茶を[の]む。|[いん]食店に入る。,飲,98f2
校庭で[うん]動をする。|重い荷物を[はこ]ぶ。|父が車を[うん]転する。,運,904b
プールで[およ]ぐ。|水[えい]を習う。|遠くまで[およ]いでいく。,泳,6cf3
[えき]で電車を待つ。|[えき]前に自転車を止める。|母と[えき]まで歩く。,駅,99c5
中[おう]に立つ。|町の中[おう]で会う。|中[おう]に集まる。,央,592e
[よこ]に立つ。|道の[よこ]を歩く。|[よこ]の家を見る。,横,6a2a
[おく]上から山が見える。|花[や]さんで花を買う。|魚[や]でさかなを買う。,屋,5c4b
今日は気[おん]が高い。|スープが[あたた]かい。|先生は[おん]和な人だ。,温,6e29
生き物が進[か]する。|お[ば]けの話を聞く。|文[か]を学ぶ。,化,5316
車に[に]物をつむ。|やさいを出[か]する。|友だちの[に]物を持つ。,荷,8377
世[かい]の国ぐにを知る。|世[かい]地図を見る。|世[かい]中を旅する。,界,754c
ドアを[あ]ける。|店が[かい]店する。|まどを[ひら]く。,開,958b
[かい]だんを上る。|二[かい]の教室に行く。|三[かい]まで走る。,階,968e
冬はとても[さむ]い。|[かん]気がして上着を着る。|[さむ]くて手がこおる。,寒,5bd2
寒さを[かん]じる。|本の[かん]想を話す。|いやな予[かん]がする。,感,611f
[かん]字を書く。|[かん]字を読む。|[かん]字の本を見る。,漢,6f22
図書[かん]で本をかりる。|会[かん]で話を聞く。|[かん]内を見て回る。,館,9928
川の[きし]で魚をつる。|海[がん]で貝をひろう。|船が[きし]につく。,岸,5cb8
朝早く[お]きる。|弟を[お]こす。|先生の声で[き]立する。,起,8d77
一学[き]が終わる。|夏休みの[き]間に本を読む。|二学[き]から新しい先生が来る。,期,671f
お[きゃく]さんが来る。|店に[きゃく]が多い。|バスの中に[きゃく]がたくさんいる。,客,5ba2
虫の研[きゅう]をする。|図書館で研[きゅう]する。|星の研[きゅう]は楽しい。,究,7a76
学校に[いそ]いで行く。|[きゅう]に雨がふってきた。|[きゅう]な坂を上る。,急,6025
一[きゅう]をとる。|学[きゅう]の友だちと遊ぶ。|水泳で[きゅう]が上がる。,級,7d1a
[みや]まいりに行く。|[きゅう]でんを見る。|西の[みや]を知る。,宮,5bae
地[きゅう]はとても大きい。|[きゅう]場に行く。|野[きゅう]を見に行く。,球,7403
[きょ]年の夏を思い出す。|冬が[さ]る。|鳥が[さ]って行く。,去,53bb
川に[はし]をかける。|鉄[きょう]を通る。|高い[はし]から川を見る。,橋,6a4b
農[ぎょう]をする人が多い。|教室で作[ぎょう]をする。|工[ぎょう]の町には工場が多い。,業,696d
すきな[きょく]を歌う。|新しい[きょく]を聞く。|道が右に[ま]がる。,曲,66f2
薬[きょく]で薬を買う。|[きょく]長の話を聞く。|テレビ[きょく]の人が来る。,局,5c40
[ぎん]行へ行く。|[ぎん]色に光る。|[ぎん]のスプーンを買う。,銀,9280
町を四つの[く]に分ける。|この地[く]には公園が多い。|[く]長先生の話を聞く。,区,533a
この薬は[にが]い。|[く]手な食べ物だ。|とても[くる]しい思いをする。,苦,82e6
道[ぐ]を大切にする。|[ぐ]合が悪い。|家[ぐ]を新しくする。,具,5177
[きみ]はやさしい。|田中[くん]と遊ぶ。|[きみ]の名を書く。,君,541b
図書[がかり]になる。|黒板[がかり]をする。|生き物[がかり]になる。,係,4fc2
この荷物は[かる]い。|[けい]食を食べてから出かける。|かばんを[かる]くする。,軽,8efd
[ち]が出る。|出[けつ]した。|赤い[ち]を見る。,血,8840
遠足の日を[き]める。|大事なことが[き]まる。|[けっ]心して勉強する。,決,6c7a
虫のかんさつを[けん]きゅうする。|学校で理科の[けん]きゅうをする。|新しい薬を[けん]きゅうする。,研,7814
