[ま]っ白な紙に書く。|写[しん]をとる。|[ま]ん中に立つ。,真,771f
海がとても[ふか]い。|[しん]夜に目がさめる。|[ふか]い森に入る。,深,6df1
前に[すす]む。|毎日すこしずつ[しん]歩する。|船が海を[すす]む。,進,9032
[せ]界中を旅する。|おばあちゃんに[せ]話になる。|この[よ]の中にはいろいろな人がいる。,世,4e16
つくえを[ととの]える。|[せい]理をする。|心を[ととの]える。,整,6574
[むかし]の話を聞く。|[むかし]、この町に大きな木があった。|おじいちゃんが[むかし]のことを教えてくれる。,昔,6614
[ぜん]部食べる。|[ぜん]員が集まる。|[まった]く分からない。,全,5168
[あい]手と話をする。|町の様[そう]を見る。|二人で[あい]手を決める。,相,76f8
手紙を[おく]る。|荷物を発[そう]する。|友だちを家まで[おく]る。,送,9001
本を読んで感[そう]を書く。|明日の天気を予[そう]する。|理[そう]の学校を考える。,想,60f3
大きく[いき]をすう。|休[そく]時間に遊ぶ。|[いき]を止めて泳ぐ。,息,606f
風のように[はや]い。|[そく]どを落とさずに走る。|高[そく]道路を車で通る。,速,901f
家[ぞく]と旅行する。|わたしの家[ぞく]は五人だ。|家[ぞく]でお祭りに行く。,族,65cf
[た]人の話をよく聞く。|その[ほか]にも花がさく。|[た]の町から来た人と話す。,他,4ed6
ボールを[う]つ。|[だ]者がボールを[う]つ。|くぎを[う]つ。,打,6253
みんなの意見に反[たい]する。|赤組[たい]白組でゲームをする。|二つで一[つい]になる。,対,5bfe
友だちを[ま]つ。|駅で電車を[ま]つ。|遠足を期[たい]する。,待,5f85
次の人と[か]わる。|昔の時[だい]の話を聞く。|[だい]金をはらう。,代,4ee3
[だい]一に手を上げる。|[だい]二回の練習をする。|兄は[だい]三子だ。,第,7b2c
算数の問[だい]をとく。|この本の[だい]名を書く。|今日の話[だい]は天気だ。,題,984c
[すみ]で絵をかく。|石[たん]をほる。|[すみ]で火をおこす。,炭,70ad
[みじか]い話を聞く。|[たん]所と長所がある。|かみの毛を[みじか]く切る。,短,77ed
先生に相[だん]する。|友だちと[だん]話をする。|家族で相[だん]して決める。,談,8ac7
服を[き]る。|学校に[つ]く。|かけっこで一[ちゃく]になる。,着,7740
車に気をつけて[ちゅう]意する。|お店で食べ物を[ちゅう]文する。|コップに水を[そそ]ぐ。,注,6ce8
家の[はしら]に絵をかける。|木の[はしら]を立てる。|円[ちゅう]の形をかく。,柱,67f1
一[ちょう]目に住む。|とうふを一[ちょう]買う。|[ちょう]どいい大きさだ。,丁,4e01
手[ちょう]に予定を書く。|日記[ちょう]に今日のことを書く。|新しい[ちょう]面を買う。,帳,5e33
図書館で[しら]べる。|[ちょう]子がいい。|味を[ととの]える。,調,8abf
ボールを[お]いかける。|バスに[お]いつく。|犬がねこを[お]いはらう。,追,8ffd
明日の予[てい]を紙に書く。|クラスできまりを[さだ]める。|みんなで話し合って決[てい]する。,定,5b9a
[にわ]で花を育てる。|校[てい]で遊ぶ。|家の[にわ]に木を植える。,庭,5ead
[ふえ]をふく。|竹[ぶえ]で音を出す。|小さな[ふえ]を鳴らす。,笛,7b1b
[てつ]道で旅行する。|えきで地下[てつ]にのる。|こうていの[てつ]ぼうで遊ぶ。,鉄,9244
石につまずいて[ころ]ぶ。|ボールが[ころ]がる。|自[てん]車に乗る。,転,8ee2
[と]会に住む。|[と]合が悪い。|京の[みやこ]の話を聞く。,都,90fd
今[ど]の遠足は楽しみだ。|もう一[ど]言ってください。|気温は三十[ど]だ。,度,5ea6
ボールを[な]げる。|[とう]手になりたい。|石を川に[な]げ入れる。,投,6295
[まめ]を食べる。|大[ず]を育てる。|畑で[まめ]を作る。,豆,8c46
[しま]で魚つりをする。|日本は[とう]国だ。|小さな[しま]に船で行く。,島,5cf6
お[ゆ]をわかす。|[とう]気が上がる。|あたたかい[ゆ]に入る。,湯,6e6f
毎朝[とう]校する。|山に[のぼ]る。|木に[のぼ]って遊ぶ。,登,767b
かけっこで一[とう]になる。|この二つの長さは[ひと]しい。|くだもの[など]を買う。,等,7b49
犬が[うご]く。|自[どう]車を見る。|手を[うご]かす。,動,52d5
[どう]話の本を読む。|学校で[どう]話を聞く。|昔話は[どう]話の一つだ。,童,7ae5
[のう]家で牛を育てる。|[のう]民が畑で米を作る。|[のう]地を広げる。,農,8fb2
海の[なみ]がたかい。|音[ぱ]を出す。|[なみ]と遊ぶ。,波,6ce2
プリントを[くば]る。|心[はい]しないでください。|手紙を[くば]る仕事をする。,配,914d
二[ばい]になる。|[ばい]数を習う。|三[ばい]の大きさ。,倍,500d
[はこ]の中におもちゃを入れる。|本[ばこ]に本をしまう。|大きな[はこ]を運ぶ。,箱,7bb1
